received_on,operator,volunteer,event_type,response_date,age,sex,duration,location,location_slug,location_type,topics_list,topics_count,topic_A1,topic_A2,topic_B1,topic_B2,topic_B3,topic_B4,topic_C1,topic_C2,topic_D1,topic_D2,topic_D3,topic_E1,topic_E10,topic_E2,topic_E3,topic_E4,topic_E5,topic_E6,topic_E7,topic_E8,topic_E9,topic_F1,topic_F10,topic_F11,topic_F12,topic_F2,topic_F3,topic_F4,topic_F5,topic_F6,topic_F7,topic_F8,topic_F9,topic_G1,topic_H1,topic_H2,topic_H3
2013-07-04T13:49:05.184000,malitel,samerou,RING,2013-07-04T13:49:00,,U,0,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-07-04T13:21:44.081000,malitel,samerou,RING,2013-07-04T13:21:00,,M,2,COMMUNE 1,91091000,commune,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-04T13:22:09.071000,malitel,samerou,RING,2013-07-04T13:22:00,,M,2,,,,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-04T13:08:12.481000,orange,samerou,RING,2013-07-04T13:08:00,,M,6,DISTRICT DE BAMAKO,91000000,cercle,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-07-04T13:12:05.721000,orange,samerou,RING,2013-07-04T13:12:00,,U,0,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-07-04T20:38:07.561000,malitel,samerou,RING,2013-07-04T15:40:00,,M,2,DISTRICT DE BAMAKO,91000000,cercle,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-04T16:55:30.403000,malitel,samerou,RING,2013-07-04T16:55:00,,U,0,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-07-10T10:49:06,orange,Abderhamane,CALL_ME,2013-07-10T10:49:00,25,M,2,COMMUNE 3,91093000,commune,F9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,
2013-07-10T10:50:12.248000,malitel,Abderhamane,RING,2013-07-10T11:49:00,35,F,8,DISTRICT DE BAMAKO,91000000,cercle,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10T11:04:32.528000,malitel,Abderhamane,RING,2013-07-10T11:04:00,30,F,1,KATI,25000000,cercle,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10T11:02:52.097000,malitel,Abderhamane,RING,2013-07-10T11:02:00,20,M,43,DISTRICT DE BAMAKO,91000000,cercle,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-07-10T10:52:01.178000,malitel,Abderhamane,RING,2013-07-10T10:52:00,,M,1,DISTRICT DE BAMAKO,91000000,cercle,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-07-10T13:01:03,malitel,Abderhamane,SMS_HOTLINE,2013-07-10T13:01:00,28,M,2,KATI,25000000,cercle,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-07-06T09:58:24.201000,orange,abba,RING,2013-07-09T13:58:00,,M,1,BANCONI,91091001,village,G1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
2013-07-09T07:52:22,orange,abba,CALL_ME,2013-07-09T14:25:02,33,M,2,BLA,43006143,village,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-07-11T09:25:51.698000,orange,abba,RING,2013-07-11T10:30:00,50,M,3,HAMDALLAYE ET NANGOIRA,31091285,village,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-06T10:31:54,orange,abba,CALL_ME,2013-07-06T13:56:00,25,M,4,FLABOUGOU-DAOUDABOUGOU,91095199,village,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-08T20:30:06.923000,orange,abba,RING,2013-07-08T13:17:00,22,M,2,TIANKADI,31075000,commune,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10T14:20:50.218000,malitel,abba,RING,2013-07-10T14:41:00,30,M,1,BACO-DJIKORONI,91095001,village,E9,1,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
2013-07-10T14:36:12.738000,malitel,abba,RING,2013-07-10T13:30:00,21,M,1,NIENA,31061000,commune,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-07-09T15:29:45.923000,orange,abba,RING,2013-07-09T14:30:00,25,M,2,MAGNAMBOUGOU,91096298,village,E6,1,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
2013-07-09T08:57:42.514000,orange,abba,RING,2013-07-09T13:07:00,39,M,2,BOULKASSOUMBOUGOU,91091112,village,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-11T12:13:59.657000,malitel,Abderhamane,RING,2013-07-11T13:30:00,,M,6,KATI,25000000,cercle,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T13:54:52.008000,malitel,Abderhamane,RING,2013-07-11T11:45:00,,M,2,MACINA,44000000,cercle,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T14:18:40.337000,malitel,Abderhamane,RING,2013-07-11T14:18:00,30,M,2,BOUGOUBA,91092181,village,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T10:22:57,malitel,Abderhamane,SMS_HOTLINE,2013-07-11T10:22:00,30,M,0,BOUGOUBA,91092181,village,H1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,
2013-07-11T14:17:26.737000,malitel,Abderhamane,RING,2013-07-11T14:17:00,,U,0,,,,H2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-07-11T13:58:04.098000,malitel,Abderhamane,RING,2013-07-11T13:52:00,,U,0,,,,"B2, H2",2,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
2013-07-11T13:33:07.920000,malitel,Abderhamane,RING,2013-07-11T14:00:00,24,F,6,DISTRICT DE BAMAKO,91000000,cercle,B1,1,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T13:07:39.617000,orange,Abderhamane,RING,2013-07-11T14:08:00,27,M,3,NIAMAKORO,91096496,village,E1,1,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T15:50:55.858000,malitel,Abderhamane,RING,2013-07-11T16:00:00,37,F,2,BAGUINEDA CAMP,25001000,commune,A1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T10:46:11,malitel,Abderhamane,CALL_ME,2013-07-11T11:25:00,19,M,1,DISTRICT DE BAMAKO,91000000,cercle,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
2013-07-11T10:48:12,orange,Abderhamane,CHARGE_ME,2013-07-11T11:40:00,,F,1,DISTRICT DE BAMAKO,91000000,cercle,E10,1,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11T10:33:06,malitel,Abderhamane,CALL_ME,2013-07-11T11:22:00,19,M,2,KAYES,10000000,region,E10,1,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10T11:21:52.667000,orange,Abderhamane,RING,2013-07-11T11:50:00,25,M,4,YIRIMADJO,91096892,village,E7,1,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
